rank, player_id, score, time, spm
367,LittLAria,134574880,2464:50:10,909.97
368,Dark__HawkPK,134468163,2118:38:20,1057.82
369,SAGIT35,133782464,4188:10:00,532.38
370,jrangel78,133572758,2430:23:00,915.99
371,swillage,133470484,5138:36:40,432.9
372,DARK-MATTER-No5,133198978,4202:36:40,528.24
373,baseballd00dA,133140341,2793:50:00,794.25
374,AssadoViolento,133096932,3520:48:20,630.05
375,TheRevling,133058176,2018:08:20,1098.85
376,oRenn_,132952736,1755:26:00,1262.3
377,Matheus__Alves_,132946248,2812:23:20,787.86
378,Doug_McTug,132799287,1998:28:40,1107.5
379,N4ndoDvil,132797134,2914:53:20,759.3
380,saunaelf,132726729,5114:03:20,432.56
381,ZakkSN,132711968,2200:33:20,1005.14
382,niko123nico,132578640,4586:33:20,481.77
383,Komaki--Nagakute,132455202,1615:24:20,1366.58
384,OK-5_7,132448508,2879:53:20,766.51
385,kiyo77,132416061,3665:43:20,602.05
386,kk51712,132300786,2178:09:30,1012.33
387,JPN_Miyatyan,132275608,1405:43:10,1568.3
388,DevineInfinity,132261943,1493:47:20,1475.69
389,Ill-HunTer-IlI,132095103,2105:55:10,1045.43
390,TheBusOfSteel36,131974381,4812:45:00,457.03
391,SinmeiGaeru,131891856,2470:19:50,889.84
392,hisakake,131879390,2427:00:20,905.64
393,ALROSE909,131868398,5400:13:20,406.98
394,mamos53,131850674,3644:46:40,602.92
395,LinkstheEmperor,131617711,2424:16:40,904.86
396,rurumms,131221415,3402:16:40,642.81
397,thebestjoe,131201807,2319:02:10,942.93
398,torippi01,130809257,2037:35:50,1069.96
399,bal2obzh,130728168,3320:10:00,656.23
400,OrangeBuddhaz,130466550,3016:05:00,720.95
401,IDaDDyFatSaXI,130403889,2572:02:40,845.01
402,GAMEBOY_GAMING,130381236,4594:35:00,472.95
403,shootemup00,130269843,4101:53:20,529.31
404,xX__Sarumaan__Xx,130216931,2789:21:40,778.06
405,ll__Pro-Dmr__ll,130116387,4066:18:20,533.31
406,BenchedByMe,130104747,2476:53:40,875.46
407,ICON-HOSTILE,130042185,4236:13:20,511.63
408,TALOOOBI-KSA,130037550,4321:40:00,501.49
409,Peka__71,130017589,2982:35:00,726.54
410,battlefield12037,129901925,8755:51:40,247.27
411,XCPTOR,129559085,3014:58:20,716.2
412,WhatChaMaCalum,129551800,1639:26:50,1317.03
413,Predador_WarLord,129499024,3549:53:20,608
414,Jman1969fl,129237597,3707:20:00,581
415,Wian_is_Sooop,129170003,2603:04:00,827.04
416,RacKB1ST,129090453,2634:17:20,816.73
417,yamax01402,129074756,2899:23:20,741.97
418,oddreidar3000,129051956,3130:18:20,687.11
419,RelentlessBlue_,128969791,3461:45:00,620.93
420,YABA_WARRIOR,128798837,2580:59:10,831.72
421,MissLtDangle,128789258,4386:18:20,489.36
422,DMaxHemi,128582771,8552:15:00,250.58
423,elcubano1788,128500807,4339:35:00,493.52
424,II-Raiju-II,128400003,2530:15:10,845.77
425,eastbirdz,128378430,2399:21:10,891.76
426,RaptorXES68,128158575,4301:38:20,496.55
427,wmoy1,128106938,6011:18:20,355.18
428,Frank_Tanker,128058958,4894:48:20,436.04
429,Bf0o-,128048364,6015:25:00,354.78
430,JfriggenJ,128047871,4006:21:40,532.69
431,F5M-IC,127970748,1830:56:00,1164.9
432,LethalShot-x,127946842,3989:13:20,534.55
433,gennadiy09,127824043,5113:06:40,416.65
434,oninicarnival,127803446,3725:43:20,571.72
435,Kampoo_Ksa,127798514,3222:51:40,660.9
436,orion19777,127702497,2965:08:20,717.8
437,Soldier0085,127650122,3827:26:40,555.85
438,Mere-men,127368844,3051:13:20,695.73
439,Vanilla_100g,127359314,3946:53:20,537.8
440,IIN3KROSII,127282872,2332:03:50,909.66
441,Domino1115,127246817,2850:23:20,744.03
442,makoyan--,127200677,3510:43:20,603.87
443,cwmripper,126929042,1827:19:00,1157.7
444,jozef23,126921013,3131:06:40,675.59
445,M4-RKO97,126902689,2422:14:20,873.18
446,lUpht,126602959,2373:52:40,888.86
447,Yamagachi_16T,126570281,2674:49:30,788.65
448,MIGUELNEWPRO,126566124,6343:10:00,332.55
449,i_7lmoz,126548895,3587:01:40,587.99
450,l-MATA-DOR-l,126363925,2571:45:40,818.92
451,Haifisch__Nikez,126223029,1920:05:20,1095.64
452,GBROWN900,126192636,4238:10:00,496.25
453,PCAP,125914008,5263:43:20,398.68
454,PrEdAdOr015,125814252,3233:13:20,648.55
455,kiLL-4-D3vIiL,125643749,3134:00:00,668.18
456,GameHog420,125586819,4194:46:40,498.98
457,KiiD-_DiNGALiNG,125505470,3646:15:00,573.67
458,fujimon-21takahi,125481279,3923:48:20,532.99
459,sampi78,125443885,2863:56:40,730.02
460,DE_DrOkZz,125309542,2196:29:20,950.83
461,arturojv,125148508,2703:13:10,771.6
462,saelly,125143025,2771:21:30,752.6
463,kNigHtsONE_,125089151,2922:18:20,713.42
